Sales
1736.8
1297.4
559
1455.6
1526.2
1419.6
1484.6
1651
1661.4
1851.2
1617.2
1614.6
1757.6
1302.6
572
1458.6
1567.8
1627.6
1575.6
1682.2
1710.8
1853.8
1788.8
1822.4
1838.2
1635.4
618.8
1593.8
1898
1911
1695
1757.6
1944.8
2108.6
1895.4
1822.6
2054
1544.4
600.6
1604.2
1796.6
1822.6
1835.6
1944.8
2009.8
2116.4
1994.2
1895.4
1947.4
1770.6
626.6
1768
1840.8
1804.4
2007.2
2067
2048.8
2314
2072.2
1952.6
2134.6
1799.2
756.6
1890.2
2256.8
2111.2
2080
2191.8
2202.2
2449.2
2090.4
2184
2267.2
1705.6
962
1929.2
2202.2
1903.2
2337.4
2022.8
2225.6
2441.4
2113.8
2035.8
2152.8
1708.2
806
2028
2236
2028
2100.8
2327
2225.6
2321.8
2275
2171
2431
2165.8
780
2056.6
2340
2033.2
2288
2275
2581.8
2540.2
2519.4
2267.2
2615.6
2163.2
899.6
2210
2376.4
2259.4
2584.4
